latent_dim1,latent_dim2,日期,台灣核心CPI,台灣CPI,台灣出口物價指數年增率,台灣進口物價指數年增率,台灣GDP,台灣出(入)超,台灣領先指標,台灣M1A(期底)年增率,台灣M1B(期底)年增率,台灣M2(期底)年增率,台灣隔夜拆款利率(月底值),台灣重貼現率 (月底值),美國失業率,美國初次領取失業救濟人數,美國非農業就業人數變化,美國CPI年增率,美國核心CPI年增率,美國進口價格年增率,美國出口物價指數月增率,美國GDP成長率
-0.51171976,-1.8104061,2007/1/2,89.87,88.92,5.208146,7.397486,2868.22,1.83,82.74,2.08,3.15,4.37,1.689,2.75,4.6,330.0,234.0,2.1,2.7,0.0,0.4,0.2476
-0.62945914,-1.947064,2007/1/3,89.87,88.92,5.208146,7.397486,2868.22,1.83,82.74,2.08,3.15,4.37,1.689,2.75,4.6,330.0,234.0,2.1,2.7,0.0,0.4,0.2476
-0.8639607,-2.1829708,2007/1/4,89.87,88.92,5.208146,7.397486,2868.22,1.83,82.74,2.08,3.15,4.37,1.689,2.75,4.6,330.0,234.0,2.1,2.7,0.0,0.4,0.2476
-0.9002015,-2.2116368,2007/1/5,89.87,88.92,5.208146,7.397486,2868.22,1.83,82.74,2.08,3.15,4.37,1.689,2.75,4.6,330.0,234.0,2.1,2.7,0.0,0.4,0.2476
-0.75965184,-2.1030886,2007/1/8,89.87,88.92,5.208146,7.397486,2868.22,1.83,82.74,2.08,3.15,4.37,1.689,2.75,4.6,296.0,234.0,2.1,2.7,0.0,0.4,0.2476
-0.54040444,-1.873505,2007/1/9,89.87,88.92,5.208146,7.397486,2868.22,1.83,82.74,2.08,3.15,4.37,1.689,2.75,4.6,296.0,234.0,2.1,2.7,0.0,0.4,0.2476
-0.81195265,-2.109594,2007/1/10,89.87,88.92,5.208146,7.397486,2868.22,1.83,82.74,2.08,3.15,4.37,1.689,2.75,4.6,296.0,234.0,2.1,2.7,0.0,0.4,0.2476
-0.7608936,-2.0947685,2007/1/11,89.87,88.92,5.208146,7.397486,2868.22,1.83,82.74,2.08,3.15,4.37,1.689,2.75,4.6,296.0,234.0,2.1,2.7,0.0,0.4,0.2476
-0.6636015,-2.0204463,2007/1/12,89.87,88.92,5.208146,7.397486,2868.22,1.83,82.74,2.08,3.15,4.37,1.689,2.75,4.6,296.0,234.0,2.1,2.7,0.0,0.4,0.2476
-0.76283747,-2.1160343,2007/1/15,89.87,88.92,5.208146,7.397486,2868.22,1.83,82.74,2.08,3.15,4.37,1.689,2.75,4.6,335.0,234.0,2.1,2.7,0.0,0.4,0.2476
-0.7087337,-2.0650804,2007/1/16,89.87,88.92,5.208146,7.397486,2868.22,1.83,82.74,2.08,3.15,4.37,1.689,2.75,4.6,335.0,234.0,2.1,2.7,0.0,0.4,0.2476
-0.6907374,-2.0333173,2007/1/17,89.87,88.92,5.208146,7.397486,2868.22,1.83,82.74,2.08,3.15,4.37,1.689,2.75,4.6,335.0,234.0,2.1,2.7,0.0,0.4,0.2476
-0.60582155,-1.941302,2007/1/18,89.87,88.92,5.208146,7.397486,2868.22,1.83,82.74,2.08,3.15,4.37,1.689,2.75,4.6,335.0,234.0,2.1,2.7,0.0,0.4,0.2476
-0.557758,-1.897858,2007/1/19,89.87,88.92,5.208146,7.397486,2868.22,1.83,82.74,2.08,3.15,4.37,1.689,2.75,4.6,335.0,234.0,2.1,2.7,0.0,0.4,0.2476
-0.5743376,-1.890534,2007/1/22,89.87,88.92,5.208146,7.397486,2868.22,1.83,82.74,2.08,3.15,4.37,1.689,2.75,4.6,308.0,234.0,2.1,2.7,0.0,0.4,0.2476
-0.54461026,-1.8660194,2007/1/23,89.87,88.92,5.208146,7.397486,2868.22,1.83,82.74,2.08,3.15,4.37,1.689,2.75,4.6,308.0,234.0,2.1,2.7,0.0,0.4,0.2476
-0.52171946,-1.8392495,2007/1/24,89.87,88.92,5.208146,7.397486,2868.22,1.83,82.74,2.08,3.15,4.37,1.689,2.75,4.6,308.0,234.0,2.1,2.7,0.0,0.4,0.2476
-0.70941216,-2.038079,2007/1/25,89.87,88.92,5.208146,7.397486,2868.22,1.83,82.74,2.08,3.15,4.37,1.689,2.75,4.6,308.0,234.0,2.1,2.7,0.0,0.4,0.2476
-0.83920836,-2.1690252,2007/1/26,89.87,88.92,5.208146,7.397486,2868.22,1.83,82.74,2.08,3.15,4.37,1.689,2.75,4.6,308.0,234.0,2.1,2.7,0.0,0.4,0.2476
-0.7318281,-2.084204,2007/1/29,89.87,88.92,5.208146,7.397486,2868.22,1.83,82.74,2.08,3.15,4.37,1.689,2.75,4.6,310.0,234.0,2.1,2.7,0.0,0.4,0.2476
-0.7308868,-2.075744,2007/1/30,89.87,88.92,5.208146,7.397486,2868.22,1.83,82.74,2.08,3.15,4.37,1.689,2.75,4.6,310.0,234.0,2.1,2.7,0.0,0.4,0.2476
-0.65398437,-1.9876574,2007/1/31,89.87,88.92,5.208146,7.397486,2868.22,1.83,82.74,2.08,3.15,4.37,1.689,2.75,4.6,310.0,234.0,2.1,2.7,0.0,0.4,0.2476
-1.205766,-2.2834125,2007/2/1,90.8,89.26,4.885032,7.894201,2868.22,2.22,83.34,7.23,8.32,5.95,1.6909999999999998,2.75,4.5,310.0,85.0,2.4,2.7,1.2,0.8,0.2476
-1.018861,-2.1035845,2007/2/2,90.8,89.26,4.885032,7.894201,2868.22,2.22,83.34,7.23,8.32,5.95,1.6909999999999998,2.75,4.5,310.0,85.0,2.4,2.7,1.2,0.8,0.2476
-1.0900612,-2.1780484,2007/2/5,90.8,89.26,4.885032,7.894201,2868.22,2.22,83.34,7.23,8.32,5.95,1.6909999999999998,2.75,4.5,338.0,85.0,2.4,2.7,1.2,0.8,0.2476
-0.9973796,-2.0874493,2007/2/6,90.8,89.26,4.885032,7.894201,2868.22,2.22,83.34,7.23,8.32,5.95,1.6909999999999998,2.75,4.5,338.0,85.0,2.4,2.7,1.2,0.8,0.2476
-1.0475445,-2.1334927,2007/2/7,90.8,89.26,4.885032,7.894201,2868.22,2.22,83.34,7.23,8.32,5.95,1.6909999999999998,2.75,4.5,338.0,85.0,2.4,2.7,1.2,0.8,0.2476
-1.1360697,-2.2079208,2007/2/8,90.8,89.26,4.885032,7.894201,2868.22,2.22,83.34,7.23,8.32,5.95,1.6909999999999998,2.75,4.5,338.0,85.0,2.4,2.7,1.2,0.8,0.2476
-1.0340968,-2.1102316,2007/2/9,90.8,89.26,4.885032,7.894201,2868.22,2.22,83.34,7.23,8.32,5.95,1.6909999999999998,2.75,4.5,338.0,85.0,2.4,2.7,1.2,0.8,0.2476
-1.3578243,-2.3934593,2007/2/12,90.8,89.26,4.885032,7.894201,2868.22,2.22,83.34,7.23,8.32,5.95,1.6909999999999998,2.75,4.5,321.0,85.0,2.4,2.7,1.2,0.8,0.2476
-1.1560009,-2.2263744,2007/2/13,90.8,89.26,4.885032,7.894201,2868.22,2.22,83.34,7.23,8.32,5.95,1.6909999999999998,2.75,4.5,321.0,85.0,2.4,2.7,1.2,0.8,0.2476
-0.9313937,-1.998247,2007/2/14,90.8,89.26,4.885032,7.894201,2868.22,2.22,83.34,7.23,8.32,5.95,1.6909999999999998,2.75,4.5,321.0,85.0,2.4,2.7,1.2,0.8,0.2476
-0.79753596,-1.8438452,2007/2/26,90.8,89.26,4.885032,7.894201,2868.22,2.22,83.34,7.23,8.32,5.95,1.6909999999999998,2.75,4.5,320.0,85.0,2.4,2.7,1.2,0.8,0.2476
-1.089503,-2.1348472,2007/2/27,90.8,89.26,4.885032,7.894201,2868.22,2.22,83.34,7.23,8.32,5.95,1.6909999999999998,2.75,4.5,320.0,85.0,2.4,2.7,1.2,0.8,0.2476
-1.4932537,-2.5303833,2007/3/1,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,320.0,214.0,2.8,2.5,2.8,0.7,0.2476
-1.1700722,-2.274465,2007/3/2,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,320.0,214.0,2.8,2.5,2.8,0.7,0.2476
-1.3205385,-2.4055765,2007/3/3,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,320.0,214.0,2.8,2.5,2.8,0.7,0.2476
-1.2550719,-2.34871,2007/3/5,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,308.0,214.0,2.8,2.5,2.8,0.7,0.2476
-1.2338636,-2.3399258,2007/3/6,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,308.0,214.0,2.8,2.5,2.8,0.7,0.2476
-1.0172043,-2.1400428,2007/3/7,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,308.0,214.0,2.8,2.5,2.8,0.7,0.2476
-1.1287485,-2.2377098,2007/3/8,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,308.0,214.0,2.8,2.5,2.8,0.7,0.2476
-1.3311834,-2.4174755,2007/3/9,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,308.0,214.0,2.8,2.5,2.8,0.7,0.2476
-1.1587739,-2.2654212,2007/3/12,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,309.0,214.0,2.8,2.5,2.8,0.7,0.2476
-1.173156,-2.2677658,2007/3/13,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,309.0,214.0,2.8,2.5,2.8,0.7,0.2476
-1.2385511,-2.33422,2007/3/14,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,309.0,214.0,2.8,2.5,2.8,0.7,0.2476
-0.7765564,-1.874278,2007/3/15,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,309.0,214.0,2.8,2.5,2.8,0.7,0.2476
-0.88714015,-1.9842111,2007/3/16,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,309.0,214.0,2.8,2.5,2.8,0.7,0.2476
-1.1832585,-2.2674737,2007/3/19,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,303.0,214.0,2.8,2.5,2.8,0.7,0.2476
-1.1240093,-2.2129135,2007/3/20,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,303.0,214.0,2.8,2.5,2.8,0.7,0.2476
-1.115794,-2.20858,2007/3/21,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,303.0,214.0,2.8,2.5,2.8,0.7,0.2476
-0.7261966,-1.8094814,2007/3/22,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,303.0,214.0,2.8,2.5,2.8,0.7,0.2476
-0.8092061,-1.8886966,2007/3/23,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,303.0,214.0,2.8,2.5,2.8,0.7,0.2476
-0.9111984,-1.9960965,2007/3/26,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,307.0,214.0,2.8,2.5,2.8,0.7,0.2476
-1.1778383,-2.2495172,2007/3/27,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,307.0,214.0,2.8,2.5,2.8,0.7,0.2476
-1.1645502,-2.250346,2007/3/28,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,307.0,214.0,2.8,2.5,2.8,0.7,0.2476
-0.97234434,-2.0554404,2007/3/29,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,307.0,214.0,2.8,2.5,2.8,0.7,0.2476
-0.9914734,-2.0692382,2007/3/30,89.82,88.22,4.860494,9.947432,2868.22,2.21,83.95,8.6,8.43,5.78,1.703,2.875,4.4,307.0,214.0,2.8,2.5,2.8,0.7,0.2476
-0.78295517,-1.8066615,2007/4/2,90.59,89.24,5.853745,10.306845,3067.04,1.47,84.63,9.33,7.41,5.1,1.725,2.875,4.5,332.0,59.0,2.6,2.3,2.1,0.4,3.0966
-0.907517,-1.9390749,2007/4/3,90.59,89.24,5.853745,10.306845,3067.04,1.47,84.63,9.33,7.41,5.1,1.725,2.875,4.5,332.0,59.0,2.6,2.3,2.1,0.4,3.0966
-0.8542675,-1.8634268,2007/4/4,90.59,89.24,5.853745,10.306845,3067.04,1.47,84.63,9.33,7.41,5.1,1.725,2.875,4.5,332.0,59.0,2.6,2.3,2.1,0.4,3.0966
-0.71073765,-1.7013755,2007/4/9,90.59,89.24,5.853745,10.306845,3067.04,1.47,84.63,9.33,7.41,5.1,1.725,2.875,4.5,327.0,59.0,2.6,2.3,2.1,0.4,3.0966
-0.72124386,-1.6192249,2007/4/10,90.59,89.24,5.853745,10.306845,3067.04,1.47,84.63,9.33,7.41,5.1,1.725,2.875,4.5,327.0,59.0,2.6,2.3,2.1,0.4,3.0966
-0.83425415,-1.810659,2007/4/11,90.59,89.24,5.853745,10.306845,3067.04,1.47,84.63,9.33,7.41,5.1,1.725,2.875,4.5,327.0,59.0,2.6,2.3,2.1,0.4,3.0966
-0.77135074,-1.738368,2007/4/12,90.59,89.24,5.853745,10.306845,3067.04,1.47,84.63,9.33,7.41,5.1,1.725,2.875,4.5,327.0,59.0,2.6,2.3,2.1,0.4,3.0966
-0.7938787,-1.7662189,2007/4/13,90.59,89.24,5.853745,10.306845,3067.04,1.47,84.63,9.33,7.41,5.1,1.725,2.875,4.5,327.0,59.0,2.6,2.3,2.1,0.4,3.0966
-0.91905445,-1.9208521,2007/4/14,90.59,89.24,5.853745,10.306845,3067.04,1.47,84.63,9.33,7.41,5.1,1.725,2.875,4.5,327.0,59.0,2.6,2.3,2.1,0.4,3.0966
-0.80279315,-1.7749879,2007/4/16,90.59,89.24,5.853745,10.306845,3067.04,1.47,84.63,9.33,7.41,5.1,1.725,2.875,4.5,321.0,59.0,2.6,2.3,2.1,0.4,3.0966
-0.783051,-1.7491226,2007/4/17,90.59,89.24,5.853745,10.306845,3067.04,1.47,84.63,9.33,7.41,5.1,1.725,2.875,4.5,321.0,59.0,2.6,2.3,2.1,0.4,3.0966
-0.90083176,-1.8833107,2007/4/18,90.59,89.24,5.853745,10.306845,3067.04,1.47,84.63,9.33,7.41,5.1,1.725,2.875,4.5,321.0,59.0,2.6,2.3,2.1,0.4,3.0966
-1.2166235,-2.244884,2007/4/19,90.59,89.24,5.853745,10.306845,3067.04,1.47,84.63,9.33,7.41,5.1,1.725,2.875,4.5,321.0,59.0,2.6,2.3,2.1,0.4,3.0966
-0.9853771,-1.9858629,2007/4/20,90.59,89.24,5.853745,10.306845,3067.04,1.47,84.63,9.33,7.41,5.1,1.725,2.875,4.5,321.0,59.0,2.6,2.3,2.1,0.4,3.0966
-0.92085344,-1.9129921,2007/4/23,90.59,89.24,5.853745,10.306845,3067.04,1.47,84.63,9.33,7.41,5.1,1.725,2.875,4.5,301.0,59.0,2.6,2.3,2.1,0.4,3.0966
-1.051914,-2.0624702,2007/4/24,90.59,89.24,5.853745,10.306845,3067.04,1.47,84.63,9.33,7.41,5.1,1.725,2.875,4.5,301.0,59.0,2.6,2.3,2.1,0.4,3.0966
-1.1496633,-2.1744266,2007/4/25,90.59,89.24,5.853745,10.306845,3067.04,1.47,84.63,9.33,7.41,5.1,1.725,2.875,4.5,301.0,59.0,2.6,2.3,2.1,0.4,3.0966
-1.0070977,-2.007736,2007/4/26,90.59,89.24,5.853745,10.306845,3067.04,1.47,84.63,9.33,7.41,5.1,1.725,2.875,4.5,301.0,59.0,2.6,2.3,2.1,0.4,3.0966
-1.2409992,-2.273961,2007/4/27,90.59,89.24,5.853745,10.306845,3067.04,1.47,84.63,9.33,7.41,5.1,1.725,2.875,4.5,301.0,59.0,2.6,2.3,2.1,0.4,3.0966
-1.3105109,-2.3021772,2007/4/30,90.59,89.24,5.853745,10.306845,3067.04,1.47,84.63,9.33,7.41,5.1,1.725,2.875,4.5,300.0,59.0,2.6,2.3,2.1,0.4,3.0966
-1.7398887,-2.645068,2007/5/2,90.63,89.42,6.858250999999999,10.354568,3067.04,1.4,85.36,4.44,6.0,4.65,2.132,2.875,4.4,300.0,153.0,2.7,2.3,1.2,0.3,3.0966
-1.7902622,-2.6773028,2007/5/3,90.63,89.42,6.858250999999999,10.354568,3067.04,1.4,85.36,4.44,6.0,4.65,2.132,2.875,4.4,300.0,153.0,2.7,2.3,1.2,0.3,3.0966
-1.6150482,-2.5504982,2007/5/4,90.63,89.42,6.858250999999999,10.354568,3067.04,1.4,85.36,4.44,6.0,4.65,2.132,2.875,4.4,300.0,153.0,2.7,2.3,1.2,0.3,3.0966
-1.4150827,-2.3504162,2007/5/7,90.63,89.42,6.858250999999999,10.354568,3067.04,1.4,85.36,4.44,6.0,4.65,2.132,2.875,4.4,297.0,153.0,2.7,2.3,1.2,0.3,3.0966
-1.5287335,-2.452471,2007/5/8,90.63,89.42,6.858250999999999,10.354568,3067.04,1.4,85.36,4.44,6.0,4.65,2.132,2.875,4.4,297.0,153.0,2.7,2.3,1.2,0.3,3.0966
-1.5004907,-2.4265587,2007/5/9,90.63,89.42,6.858250999999999,10.354568,3067.04,1.4,85.36,4.44,6.0,4.65,2.132,2.875,4.4,297.0,153.0,2.7,2.3,1.2,0.3,3.0966
-1.4610991,-2.393256,2007/5/10,90.63,89.42,6.858250999999999,10.354568,3067.04,1.4,85.36,4.44,6.0,4.65,2.132,2.875,4.4,297.0,153.0,2.7,2.3,1.2,0.3,3.0966
-1.5814545,-2.4996438,2007/5/11,90.63,89.42,6.858250999999999,10.354568,3067.04,1.4,85.36,4.44,6.0,4.65,2.132,2.875,4.4,297.0,153.0,2.7,2.3,1.2,0.3,3.0966
-1.4775362,-2.393801,2007/5/14,90.63,89.42,6.858250999999999,10.354568,3067.04,1.4,85.36,4.44,6.0,4.65,2.132,2.875,4.4,310.0,153.0,2.7,2.3,1.2,0.3,3.0966
-1.5081108,-2.4237778,2007/5/15,90.63,89.42,6.858250999999999,10.354568,3067.04,1.4,85.36,4.44,6.0,4.65,2.132,2.875,4.4,310.0,153.0,2.7,2.3,1.2,0.3,3.0966
-1.5039742,-2.4250393,2007/5/16,90.63,89.42,6.858250999999999,10.354568,3067.04,1.4,85.36,4.44,6.0,4.65,2.132,2.875,4.4,310.0,153.0,2.7,2.3,1.2,0.3,3.0966
-0.9150706,-1.8156458,2007/5/17,90.63,89.42,6.858250999999999,10.354568,3067.04,1.4,85.36,4.44,6.0,4.65,2.132,2.875,4.4,310.0,153.0,2.7,2.3,1.2,0.3,3.0966
-1.4485602,-2.3578072,2007/5/18,90.63,89.42,6.858250999999999,10.354568,3067.04,1.4,85.36,4.44,6.0,4.65,2.132,2.875,4.4,310.0,153.0,2.7,2.3,1.2,0.3,3.0966
-1.159812,-2.049334,2007/5/21,90.63,89.42,6.858250999999999,10.354568,3067.04,1.4,85.36,4.44,6.0,4.65,2.132,2.875,4.4,310.0,153.0,2.7,2.3,1.2,0.3,3.0966
-1.3296505,-2.228173,2007/5/22,90.63,89.42,6.858250999999999,10.354568,3067.04,1.4,85.36,4.44,6.0,4.65,2.132,2.875,4.4,310.0,153.0,2.7,2.3,1.2,0.3,3.0966
-1.394609,-2.2871602,2007/5/23,90.63,89.42,6.858250999999999,10.354568,3067.04,1.4,85.36,4.44,6.0,4.65,2.132,2.875,4.4,310.0,153.0,2.7,2.3,1.2,0.3,3.0966
-1.3219132,-2.2173831,2007/5/24,90.63,89.42,6.858250999999999,10.354568,3067.04,1.4,85.36,4.44,6.0,4.65,2.132,2.875,4.4,310.0,153.0,2.7,2.3,1.2,0.3,3.0966
-1.5048409,-2.388517,2007/5/25,90.63,89.42,6.858250999999999,10.354568,3067.04,1.4,85.36,4.44,6.0,4.65,2.132,2.875,4.4,310.0,153.0,2.7,2.3,1.2,0.3,3.0966
-1.4183576,-2.2994473,2007/5/28,90.63,89.42,6.858250999999999,10.354568,3067.04,1.4,85.36,4.44,6.0,4.65,2.132,2.875,4.4,313.0,153.0,2.7,2.3,1.2,0.3,3.0966
-1.2527847,-2.133748,2007/5/29,90.63,89.42,6.858250999999999,10.354568,3067.04,1.4,85.36,4.44,6.0,4.65,2.132,2.875,4.4,313.0,153.0,2.7,2.3,1.2,0.3,3.0966
-1.3409727,-2.2080412,2007/5/30,90.63,89.42,6.858250999999999,10.354568,3067.04,1.4,85.36,4.44,6.0,4.65,2.132,2.875,4.4,313.0,153.0,2.7,2.3,1.2,0.3,3.0966
-1.5503969,-2.3987777,2007/5/31,90.63,89.42,6.858250999999999,10.354568,3067.04,1.4,85.36,4.44,6.0,4.65,2.132,2.875,4.4,313.0,153.0,2.7,2.3,1.2,0.3,3.0966
-1.4259219,-2.2675803,2007/6/1,90.63,89.97,3.614769,7.264429,3067.04,1.41,86.06,5.59,8.15,4.57,2.496,3.125,4.6,313.0,77.0,2.7,2.2,2.3,0.4,3.0966
-1.6724677,-2.4754095,2007/6/4,90.63,89.97,3.614769,7.264429,3067.04,1.41,86.06,5.59,8.15,4.57,2.496,3.125,4.6,313.0,77.0,2.7,2.2,2.3,0.4,3.0966
-1.7189298,-2.5138083,2007/6/5,90.63,89.97,3.614769,7.264429,3067.04,1.41,86.06,5.59,8.15,4.57,2.496,3.125,4.6,313.0,77.0,2.7,2.2,2.3,0.4,3.0966
-1.5897837,-2.3920002,2007/6/6,90.63,89.97,3.614769,7.264429,3067.04,1.41,86.06,5.59,8.15,4.57,2.496,3.125,4.6,313.0,77.0,2.7,2.2,2.3,0.4,3.0966
-1.6568584,-2.4549081,2007/6/7,90.63,89.97,3.614769,7.264429,3067.04,1.41,86.06,5.59,8.15,4.57,2.496,3.125,4.6,313.0,77.0,2.7,2.2,2.3,0.4,3.0966
-1.7921317,-2.5669763,2007/6/8,90.63,89.97,3.614769,7.264429,3067.04,1.41,86.06,5.59,8.15,4.57,2.496,3.125,4.6,313.0,77.0,2.7,2.2,2.3,0.4,3.0966
-1.5598874,-2.3634152,2007/6/11,90.63,89.97,3.614769,7.264429,3067.04,1.41,86.06,5.59,8.15,4.57,2.496,3.125,4.6,320.0,77.0,2.7,2.2,2.3,0.4,3.0966
-1.6599512,-2.4490204,2007/6/12,90.63,89.97,3.614769,7.264429,3067.04,1.41,86.06,5.59,8.15,4.57,2.496,3.125,4.6,320.0,77.0,2.7,2.2,2.3,0.4,3.0966
-1.65291,-2.4509878,2007/6/13,90.63,89.97,3.614769,7.264429,3067.04,1.41,86.06,5.59,8.15,4.57,2.496,3.125,4.6,320.0,77.0,2.7,2.2,2.3,0.4,3.0966
-1.5758164,-2.370723,2007/6/14,90.63,89.97,3.614769,7.264429,3067.04,1.41,86.06,5.59,8.15,4.57,2.496,3.125,4.6,320.0,77.0,2.7,2.2,2.3,0.4,3.0966
-1.1630559,-1.9292077,2007/6/15,90.63,89.97,3.614769,7.264429,3067.04,1.41,86.06,5.59,8.15,4.57,2.496,3.125,4.6,320.0,77.0,2.7,2.2,2.3,0.4,3.0966
-1.027956,-1.756709,2007/6/20,90.63,89.97,3.614769,7.264429,3067.04,1.41,86.06,5.59,8.15,4.57,2.496,3.125,4.6,313.0,77.0,2.7,2.2,2.3,0.4,3.0966
-1.1267438,-1.854463,2007/6/21,90.63,89.97,3.614769,7.264429,3067.04,1.41,86.06,5.59,8.15,4.57,2.496,3.125,4.6,313.0,77.0,2.7,2.2,2.3,0.4,3.0966
-1.3106358,-2.0289044,2007/6/22,90.63,89.97,3.614769,7.264429,3067.04,1.41,86.06,5.59,8.15,4.57,2.496,3.125,4.6,313.0,77.0,2.7,2.2,2.3,0.4,3.0966
-1.4299145,-2.1574464,2007/6/23,90.63,89.97,3.614769,7.264429,3067.04,1.41,86.06,5.59,8.15,4.57,2.496,3.125,4.6,313.0,77.0,2.7,2.2,2.3,0.4,3.0966
-1.1777842,-1.8556632,2007/6/25,90.63,89.97,3.614769,7.264429,3067.04,1.41,86.06,5.59,8.15,4.57,2.496,3.125,4.6,317.0,77.0,2.7,2.2,2.3,0.4,3.0966
-1.3625456,-2.0546932,2007/6/26,90.63,89.97,3.614769,7.264429,3067.04,1.41,86.06,5.59,8.15,4.57,2.496,3.125,4.6,317.0,77.0,2.7,2.2,2.3,0.4,3.0966
-1.4460318,-2.1559017,2007/6/27,90.63,89.97,3.614769,7.264429,3067.04,1.41,86.06,5.59,8.15,4.57,2.496,3.125,4.6,317.0,77.0,2.7,2.2,2.3,0.4,3.0966
-1.4839389,-2.154594,2007/6/28,90.63,89.97,3.614769,7.264429,3067.04,1.41,86.06,5.59,8.15,4.57,2.496,3.125,4.6,317.0,77.0,2.7,2.2,2.3,0.4,3.0966
-1.4287965,-2.1276062,2007/6/29,90.63,89.97,3.614769,7.264429,3067.04,1.41,86.06,5.59,8.15,4.57,2.496,3.125,4.6,317.0,77.0,2.7,2.2,2.3,0.4,3.0966
-1.0827396,-1.7742493,2007/7/2,90.63,89.76,2.066257,5.8604650000000005,3267.08,0.45,86.64,8.54,10.19,4.59,2.006,3.125,4.7,321.0,-30.0,2.4,2.2,2.8,0.1,2.7175
-1.0854259,-1.753437,2007/7/3,90.63,89.76,2.066257,5.8604650000000005,3267.08,0.45,86.64,8.54,10.19,4.59,2.006,3.125,4.7,321.0,-30.0,2.4,2.2,2.8,0.1,2.7175
-1.0041952,-1.661337,2007/7/4,90.63,89.76,2.066257,5.8604650000000005,3267.08,0.45,86.64,8.54,10.19,4.59,2.006,3.125,4.7,321.0,-30.0,2.4,2.2,2.8,0.1,2.7175
-1.0634239,-1.7351049,2007/7/5,90.63,89.76,2.066257,5.8604650000000005,3267.08,0.45,86.64,8.54,10.19,4.59,2.006,3.125,4.7,321.0,-30.0,2.4,2.2,2.8,0.1,2.7175
-1.222062,-1.8807296,2007/7/6,90.63,89.76,2.066257,5.8604650000000005,3267.08,0.45,86.64,8.54,10.19,4.59,2.006,3.125,4.7,321.0,-30.0,2.4,2.2,2.8,0.1,2.7175
-1.3515035,-2.0222473,2007/7/9,90.63,89.76,2.066257,5.8604650000000005,3267.08,0.45,86.64,8.54,10.19,4.59,2.006,3.125,4.7,317.0,-30.0,2.4,2.2,2.8,0.1,2.7175
-1.2365761,-1.8992151,2007/7/10,90.63,89.76,2.066257,5.8604650000000005,3267.08,0.45,86.64,8.54,10.19,4.59,2.006,3.125,4.7,317.0,-30.0,2.4,2.2,2.8,0.1,2.7175
-1.2306235,-1.8668619,2007/7/11,90.63,89.76,2.066257,5.8604650000000005,3267.08,0.45,86.64,8.54,10.19,4.59,2.006,3.125,4.7,317.0,-30.0,2.4,2.2,2.8,0.1,2.7175
-1.1925683,-1.8458138,2007/7/12,90.63,89.76,2.066257,5.8604650000000005,3267.08,0.45,86.64,8.54,10.19,4.59,2.006,3.125,4.7,317.0,-30.0,2.4,2.2,2.8,0.1,2.7175
-1.2183787,-1.7861338,2007/7/13,90.63,89.76,2.066257,5.8604650000000005,3267.08,0.45,86.64,8.54,10.19,4.59,2.006,3.125,4.7,317.0,-30.0,2.4,2.2,2.8,0.1,2.7175
